article,1,2,3,4,5,6,7,8,9,10,11,12,TOTAL,Promedio de Ventas,Desviación Estandar,Coeficiente de variación,XYZ
12 MACARON,0,0,0,0,0,0,14,47,9,0,0,0,70,5.833333333333333,13.158225142050462,225.56957386372224,Z
ARMORICAIN,0,0,0,0,0,0,3,0,0,0,0,0,3,0.25,0.82915619758885,331.66247903554,Z
BAGUETTE,1345,1512,1561,1829,2073,1941,3171,3431,1717,908,693,749,20930,1744.1666666666667,820.4337098280532,47.03872201594189,X
BAGUETTE APERO,5,8,10,7,4,8,3,3,6,2,7,6,69,5.75,2.3139072294858036,40.24186486062267,X
BAGUETTE GRAINE,77,79,65,103,233,95,478,491,49,46,50,99,1865,155.41666666666666,154.60943175915526,99.48059952331705,Y
BANETTE,1195,1364,1626,1975,2203,1865,3747,3963,1777,900,741,686,22042,1836.8333333333333,1016.930006878,55.363216053606756,Y
BANETTINE,215,244,281,299,297,298,385,415,285,130,129,122,3100,258.3333333333333,91.47069961954423,35.40801275595261,X
BOISSON 33CL,62,94,153,167,177,227,337,321,181,60,69,40,1888,157.33333333333334,95.36013609237119,60.610255990913885,Y
BOTTEREAU,0,167,10,0,0,0,0,0,0,0,0,0,177,14.75,45.98754360331357,311.77995663263437,Z
BOULE 200G,157,214,233,235,280,340,487,534,308,122,92,67,3069,255.75,139.6687300961338,54.61142916759874,Y
BOULE 400G,257,382,377,397,480,434,754,733,368,204,141,181,4708,392.3333333333333,186.82627105296396,47.61927044680475,X
BOULE POLKA,31,51,46,37,43,49,85,97,35,21,14,14,523,43.583333333333336,24.486248975473742,56.18259803167971,Y
BRIOCHE,67,96,81,147,183,136,331,389,110,63,50,58,1711,142.58333333333334,105.16452058032162,73.75653109081586,Y
BRIOCHE DE NOEL,3,0,0,0,0,0,0,0,0,0,0,16,19,1.5833333333333333,4.424521317486095,279.44345163070074,Z
BRIOCHETTE,0,10,3,27,15,0,10,0,0,1,0,0,66,5.5,8.170067319184096,148.54667853061991,Z
BROWNIES,0,3,16,11,2,1,12,0,0,1,0,0,46,3.8333333333333335,5.474689235218947,142.81798004918994,Z
BUCHE 4PERS,0,0,0,0,0,0,0,0,0,0,0,11,11,0.9166666666666666,3.040239391159117,331.66247903554,Z
BUCHE 6PERS,0,0,0,0,0,0,0,0,0,0,0,8,8,0.6666666666666666,2.2110831935702664,331.66247903554,Z
BUCHE 8PERS,0,0,0,0,0,0,0,0,0,0,0,2,2,0.16666666666666666,0.5527707983925666,331.66247903554,Z
CAFE OU EAU,137,117,163,190,204,197,247,251,147,98,102,83,1936,161.33333333333334,54.5639278481876,33.82061643482702,X
CAKE,0,0,0,0,0,1,0,0,0,0,0,0,1,0.08333333333333333,0.2763853991962833,331.66247903554,Z
CAMPAGNE,217,292,317,396,429,359,679,785,354,175,123,158,4284,357.0,192.89288910342617,54.03162159759837,Y
CARAMEL NOIX,0,0,0,0,0,0,23,43,21,0,0,0,87,7.25,13.503857473576454,186.26010308381316,Z
CEREAL BAGUETTE,386,456,479,826,721,698,991,1073,618,250,234,284,7016,584.6666666666666,271.8637322058404,46.49892797135241,X
CHAUSSON AUX POMMES,81,136,141,156,202,200,261,332,168,108,75,69,1929,160.75,75.61428987521693,47.03843849158129,X
CHOCOLAT,3,5,3,12,5,2,12,14,13,5,3,5,82,6.833333333333333,4.317277948996206,63.17967730238351,Y
CHOU CHANTILLY,10,38,38,39,48,28,22,0,5,18,16,9,271,22.583333333333332,14.851814329868553,65.76449149757293,Y
COMPLET,207,247,302,375,366,358,492,519,272,167,112,112,3529,294.0833333333333,128.57323356316778,43.72000007815283,X
COOKIE,218,206,223,292,302,300,512,674,259,158,99,101,3344,278.6666666666667,158.84024119291124,57.0000865524801,Y
COUPE,1319,1664,1703,2015,2298,2064,3758,3909,1871,937,715,988,23241,1936.75,968.9688784992013,50.03066366331231,Y
CROISSANT,1179,1427,1583,2045,2598,2193,3669,4449,1911,987,729,667,23437,1953.0833333333333,1108.9148192665157,56.777650002978994,Y
CROISSANT AMANDES,113,140,191,213,257,250,334,361,214,89,87,82,2331,194.25,91.22237024619199,46.9613231640628,X
CRUMBLE,0,1,0,0,4,0,4,0,0,0,0,0,9,0.75,1.479019945774904,197.20265943665387,Z
CRUMBLECARAMEL OU PISTAE,0,0,0,0,0,0,3,0,0,0,0,0,3,0.25,0.82915619758885,331.66247903554,Z
DELICETROPICAL,0,0,0,0,0,0,17,42,2,0,0,0,61,5.083333333333333,12.0655040876413,237.35417877327149,Z
DEMI BAGUETTE,89,94,111,82,90,108,144,184,142,48,34,20,1146,95.5,45.40466202201414,47.544148714150936,X
DEMI PAIN,10,18,19,21,19,25,18,16,10,1,4,2,163,13.583333333333334,7.631713801994644,56.18439608830413,Y
DIVERS BOISSONS,0,0,0,1,5,15,21,22,15,7,0,0,86,7.166666666666667,8.334999833366657,116.30232325627894,Z
DIVERS BOULANGERIE,11,17,24,31,18,27,37,17,20,4,1,114,321,26.75,28.113238281398083,105.09621787438535,Z
DIVERS CONFISERIE,27,23,30,102,37,40,91,80,27,19,11,13,500,41.666666666666664,29.942537560393163,71.8620901449436,Y
DIVERS PATISSERIE,68,33,30,89,38,52,55,37,17,24,31,42,516,43.0,19.31752227038102,44.92447039623493,X
DIVERS SANDWICHS,35,34,49,28,29,17,25,0,2,2,12,3,236,19.666666666666668,15.385779870459029,78.23277900233404,Y
DIVERS VIENNOISERIE,118,224,69,97,111,25,72,44,27,5,15,32,839,69.91666666666667,58.9342265203808,84.2920999099606,Y
DOUCEUR D HIVER,0,0,0,0,0,0,0,0,1,0,0,0,1,0.08333333333333333,0.2763853991962833,331.66247903554,Z
ECLAIR,123,256,306,381,405,283,482,424,250,174,132,104,3320,276.6666666666667,121.84644252318388,44.04088283970501,X
ECLAIR FRAISE PISTACHE,1,1,1,1,2,7,4,0,4,1,0,0,22,1.8333333333333333,2.034425935955617,110.96868741576094,Z
