date,forecast
2022-10-09,328598.0699460239
2022-10-16,257958.0698899807
2022-10-23,328298.06987024174
2022-10-30,478338.0698632895
2022-11-06,434708.06986084086
2022-11-13,290288.06985997834
2022-11-20,193528.0698596746
2022-11-27,191678.0698595676
2022-12-04,189668.06985952993
2022-12-11,114588.06985951665
2022-12-18,217788.06985951195
2022-12-25,417988.06985951035
2023-01-01,404208.0698595097
2023-01-08,171098.0698595095
2023-01-15,173898.06985950944
2023-01-22,198528.06985950939
2023-01-29,191038.06985950939
2023-02-05,202088.06985950939
2023-02-12,248578.06985950933
2023-02-19,343188.06985950936
2023-02-26,342038.0698595093
2023-03-05,372208.0698595093
2023-03-12,233588.0698595093
2023-03-19,240778.0698595093
2023-03-26,259348.0698595093
2023-04-02,231958.0698595093
2023-04-09,244408.0698595093
2023-04-16,394758.0698595093
2023-04-23,485818.0698595093
2023-04-30,410328.06985950924
2023-05-07,355878.0698595093
2023-05-14,335538.0698595093
2023-05-21,323318.0698595093
2023-05-28,461683.9623548405
2023-06-04,368261.8862038539
2023-06-11,362056.12633643736
2023-06-18,361228.8121104317
2023-06-25,395419.483412756
2023-07-02,392267.5104670579
2023-07-09,527693.5422924308
2023-07-16,758529.8795379259
2023-07-23,727014.5011060284
2023-07-30,749229.0846779925
2023-08-06,821547.1769612068
2023-08-13,937256.5050454517
2023-08-20,835466.2683904171
2023-08-27,699316.1850382929
2023-09-03,443216.1556808925
2023-09-10,393716.1453409405
2023-09-17,318126.1416991124
2023-09-24,294966.1404164264
2023-10-01,246876.13996465236
