date,forecast
2022-10-09,667265.6696432846
2022-10-16,543765.6685014749
2022-10-23,667715.6680433037
2022-10-30,950665.6678594543
2022-11-06,862615.6677856817
2022-11-13,601665.6677560789
2022-11-20,414765.66774420056
2022-11-27,410715.66773943405
2022-12-04,414665.66773752146
2022-12-11,280665.667736754
2022-12-18,472765.6677364461
2022-12-25,780315.6677363223
2023-01-01,760115.6677362728
2023-01-08,367915.667736253
2023-01-15,384615.667736245
2023-01-22,414265.66773624177
2023-01-29,414265.6677362405
2023-02-05,429265.66773623996
2023-02-12,510115.66773623973
2023-02-19,691015.6677362396
2023-02-26,697415.6677362398
2023-03-05,730965.6677362397
2023-03-12,506065.6677362397
2023-03-19,521615.66773623973
2023-03-26,564315.6677362397
2023-04-02,488765.66773623973
2023-04-09,511265.66773623973
2023-04-16,803015.6677362397
2023-04-23,967065.6677362397
2023-04-30,829365.6677362396
2023-05-07,720115.6677362397
2023-05-14,679365.6677362395
2023-05-21,653265.6677362396
2023-05-28,977861.3233493092
2023-06-04,781946.1449559085
2023-06-11,793500.4899769641
2023-06-18,782952.3316830054
2023-06-25,852775.0846232955
2023-07-02,825910.98218212
2023-07-09,1086854.055697728
2023-07-16,1502640.7692712524
2023-07-23,1458075.247713689
2023-07-30,1478298.9560334913
2023-08-06,1645288.4060332573
2023-08-13,1858334.172659654
2023-08-20,1655432.473943856
2023-08-27,1391881.7923041917
2023-09-03,940481.5187842582
2023-09-10,834931.4090295625
2023-09-17,696431.3649885557
2023-09-24,648581.3473163252
2023-10-01,574931.3402250311
