date,forecast
2022-10-09,55104.39072018159
2022-10-16,46294.38924259941
2022-10-23,55064.38852529231
2022-10-30,80494.38817706838
2022-11-06,71144.38800801958
2022-11-13,51374.387925953146
2022-11-20,32484.38788611317
2022-11-27,31624.387866772457
2022-12-04,35014.38785738331
2022-12-11,25024.387852825257
2022-12-18,42154.387850612504
2022-12-25,50134.3878495383
2023-01-01,50084.38784901682
2023-01-08,27944.38784876366
2023-01-15,32634.387848640763
2023-01-22,29834.387848581104
2023-01-29,34794.38784855214
2023-02-05,33474.387848538085
2023-02-12,39084.38784853126
2023-02-19,55994.38784852795
2023-02-26,58114.38784852633
2023-03-05,54304.38784852555
2023-03-12,45984.38784852518
2023-03-19,48374.387848524995
2023-03-26,54964.38784852491
2023-04-02,39644.387848524864
2023-04-09,40984.38784852484
2023-04-16,70334.38784852483
2023-04-23,84524.38784852483
2023-04-30,72064.38784852481
2023-05-07,59514.387848524806
2023-05-14,55834.38784852479
2023-05-21,52464.38784852482
2023-05-28,77276.42048122369
2023-06-04,54829.24683417555
2023-06-11,64200.393263922255
2023-06-18,61060.546184678074
2023-06-25,68615.27320943761
2023-07-02,59959.89438497874
2023-07-09,86073.3009779934
2023-07-16,118865.53634124815
2023-07-23,119116.91232001895
2023-07-30,114152.7257023454
2023-08-06,137220.69326677054
2023-08-13,154329.70660051916
2023-08-20,132659.2276134833
2023-08-27,108598.99508441865
2023-09-03,75938.88220085012
2023-09-10,63748.82740038863
2023-09-17,52488.80079695452
2023-09-24,46988.78788205039
2023-10-01,44598.78161238054
