ingrediente,semana,Q,S
harina,1,1878.747006609425,1211.4813369661404
harina,2,4.55842940672087e-09,667.7156684692239
harina,3,4.809347649263739e-09,4.3072951554670003e-07
harina,4,950.665667437589,8.864104105471536e-09
leche,1,168.32857689733646,101.27329257761845
leche,2,0.0,48.11800888740327
leche,3,15.637274484515865,0.0
leche,4,108.60528323726903,0.0
levadura,1,20.32280035581341,9.152400178489952
levadura,2,0.0,0.0
levadura,3,11.27740018070847,0.0
levadura,4,16.045400172872622,0.0
sal,1,41.123140138424155,31.477605106990932
sal,2,0.0,23.69207007196921
sal,3,0.0,14.008535039297783
sal,4,0.0,7.516790399885372e-09
manteca,1,156.46316854878972,101.35877782860814
manteca,2,0.0,55.06438857723213
manteca,3,0.0,4.317545869945565e-08
manteca,4,80.49438812656425,0.0
azucar,1,77.46398474214865,58.88077708052114
azucar,2,0.0,45.30452019279029
azucar,3,0.0,28.235775212102137
azucar,4,0.0,2.804952046855284e-09
chocolate,1,84.5940030575258,35.109501587999034
chocolate,2,0.0,1.1014573938794873e-07
chocolate,3,44.60950135942797,8.212132050616303e-10
chocolate,4,75.73450145854818,0.0
